#,sku_yooga,produto,linhas,categoria,sku_atual_sugerido,motivo,SEU_SKU_CORRETO
109,MJO,Caranguejo - METADE DO PREÇO,12,Pães Finos,,,
110,INTIMI_P50,Intimidade Kãnfa · Pouch 50g,10,Mercearia,,,
111,MANU,Ursinho - METADE DO PREÇO,9,Pães Finos,,,
112,MMA,Maçã - METADE DO PREÇO,9,Pães Finos,,,
113,IFOOD_76da4710c82b11ee8012e9ac1,Baguete Francesa,8,Pães Rústicos,,,
114,IFOOD_786034b0c82b11ee8da923d29,Baguette de Campagne,8,,BAGUETE,parecido 50%,
115,IFOOD_a8feac8b-0c72-43b6-a067-b9e451585762,Bichon au Citron,8,Pães Finos,,,
116,NAMAS_P50,Namastê Chai Kãnfa · Pouch 50g,7,Mercearia,,,
117,MCPX,Campagne Passas e Castanhas - METADE DO PREÇO,7,Pães Rústicos,,,
118,MMIF,Mini Focaccia Alecrim - METADE DO PREÇO,7,Pães Rústicos,,,
119,IFOOD_51085,Geleia Sabor Quatro Frutas St. Dalfour 284g,7,,,,
120,CHEGO_L50,Aconchego Chai Kãnfa · Lata 50g,6,Mercearia,,,
121,MBAP,Baguete Lanche - METADE DO PREÇO,6,Pães Rústicos,,,
122,MBF,Baguete Francesa - METADE DO PREÇO,6,Pães Rústicos,,,
123,IFOOD_725d98b0c82b11eeac0cf5c65,Queijo-Quente,5,,QUEIJO-QUENTE,nome idêntico,
124,INTU_L70,Intuição Chai Kãnfa · Lata 70g,4,Mercearia,,,
125,NAMAS_L60,Namastê Chai Kãnfa · Lata 60g,4,Mercearia,,,
126,MCI,Ciabatta - Cópia,4,Pães Rústicos,CIABATTA,nome contido,
127,IFOOD_27bf1ad6-2b90-486a-b854-fabc3e19b3cc,Sem itens selecionados,4,,,,
128,IFOOD_89c36650c82b11eeb4433516a,Queijo Camembert Ilde France 125g,4,,QUEIJO-CAMEMBERT,nome contido,
129,VITAL_P50,Vital Chai Kãnfa · Pouch 50g,3,Mercearia,,,
130,SOFIA_P50,Chalosofia Kãnfa · Pouch 50g,3,Mercearia,,,
131,MFOA,Focaccia Alecrim - METADE DO PREÇO,3,Pães Rústicos,,,
132,INTIMI_L50,Intimidade Kãnfa · Lata 50g,3,Mercearia,,,
133,IFOOD_802e7a70c82b11ee9455599ea,Refrigerante Guaraná Wewi Orgânico Garrafa 255ml,3,,,,
134,MAMA_P50,Mama Chai Kãnfa · Pouch 50g,2,Mercearia,,,
135,MMICBT,Mini Focaccia Cebola Bacon e Tomilho - METADE DO PREÇO,2,Pães Rústicos,,,
136,MAMA_L60,Mama Chai Kãnfa · Lata 60g,2,Mercearia,,,
137,MBA,Bâtard - METADE DO PREÇO,2,Pães Rústicos,,,
138,MANP,Porquinho - METADE DO PREÇO,1,Pães Finos,,,
139,MCGR,Pain de Campagne Redondo - METADE DO PREÇO,1,Pães Rústicos,CAMPAGNE,nome contido,
140,MCF,Baguette Campagne - METADE DO PREÇO,1,Pães Rústicos,,,
141,IFOOD_0b721634-fbbe-4b7f-b5a7-edd7d1b72fed,Pain de Campagne,1,,CAMPAGNE,nome idêntico,
142,IFOOD_83282440c82b11eea1345f4df,Refri Natural de Laranja Organico Wewi 255ml,1,,,,
143,IFOOD_6308,Mostarda Maille Dijon Originale 215g,1,,,,
